Feature,Importance
thal_7,0.16480937902619908
cp_4,0.1364652212116029
ca,0.11580402802700282
thalach,0.09032983468505916
oldpeak,0.08373955692188761
age,0.055975219475989206
exang,0.05504056361073733
trestbps,0.04549526462659904
sex,0.04339794020014626
chol,0.0410333558180778
slope_2,0.032203847754199995
cp_3,0.021256642125226613
age_binned_Age_Old,0.017478695126770145
oldpeak_risk,0.012314277259243684
cp_2,0.011466521471006201
prop,0.011153896146486158
famhist,0.009777630110700203
nitr,0.008852035998980639
high_chol_flag,0.008495831372067253
pro,0.006920751806053226
age_binned_Age_Middle,0.006461267495788716
fbs,0.005791815613872317
htn,0.005492549787754941
diuretic,0.005438518676355486
chol_binned_Chol_Medium,0.004805355652193335
