Component,Importance
PC1,0.2245618541128678
PC7,0.12070701235991922
PC6,0.08197751165333347
PC5,0.06106936865244016
PC2,0.04948605544816724
PC12,0.04760460897222014
PC4,0.04399425936010792
PC3,0.04266557271746098
PC20,0.03853594778798375
PC8,0.034243460659339746
PC19,0.03143316952558525
PC16,0.029425221715932693
PC14,0.029239954993495215
PC9,0.02768860085778
PC17,0.025757694731228
PC18,0.023626184553633838
PC13,0.023491478643118156
PC11,0.02206124405751202
PC15,0.02159044196039275
PC10,0.020840357237481497
